Obs#,Time,Date,configName,configAuthor,remark,Column,Row,Treatment,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
67,14:15:12,4/29/2024,TIM2024,Zach Peagler,,6,9,CG,0.246415,2.919887,0.227238,2.244423,2.028396,1.967393,2.974569,0.946173,20.014727,20.635326,30.26096,0.441786,PSF-01133_20240429141512,0,0,0,118.434906,397.47226,0.70203,0.5,0.8,32.058086,61.87,60.01,25.51,23.89,98.3,156.5,36.8,76.5,114,3.757,-24,4,303,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.284,0.212,0.043,-0.164,99.208,69.218,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505861,2.425423,1.687634,0.673925,0.267195,-0.016948,0.262628,0.209041,118.434906,0.000359,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141512,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
68,14:15:20,4/29/2024,TIM2024,Zach Peagler,,6,10,Control,0.068799,2.921107,0.067216,0.670241,1.962219,1.944006,2.918074,0.955855,19.776411,19.961687,29.685621,0.441786,PSF-01133_20240429141520,0,0,0,120.519165,410.794983,0.70662,0.5,0.8,31.719336,59.72,59.16,25.55,23.57,98.3,156.6,154.5,1.4,112,3.757,-29,14,282,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.136,-0.024,-9999,118.117,59.21,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.504669,2.422657,1.688944,0.948856,0.266794,-0.021006,0.263353,0.207318,120.519165,0.000362,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141520,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
69,14:15:30,4/29/2024,TIM2024,Zach Peagler,,6,11,Liquid,-0.152602,2.922229,-0.16101,-2.054204,1.906164,1.961963,3.128118,1.221954,19.960003,19.392332,31.823858,0.441786,PSF-01133_20240429141530,0,0,0,109.03537,392.927521,0.722505,0.5,0.8,31.923853,57.85,59.54,25.6,24.73,98.29,156.8,-7.4,104.7,110,3.756,-21,23,309,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.004,0.092,-0.069,22.151,-41.034,32.144,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505181,2.420241,1.690153,0.588242,0.266278,-0.008337,0.264349,0.205754,109.03537,0.000362,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141530,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
70,14:15:47,4/29/2024,TIM2024,Zach Peagler,,6,12,CBG,0.270881,2.922163,0.247901,2.454992,2.05897,1.992389,3.007266,0.948296,20.270416,20.947803,30.595695,0.441786,PSF-01133_20240429141547,0,0,0,122.780441,467.599152,0.737424,0.5,0.8,35.158527,62.2,60.19,25.68,24.07,98.29,156.8,155.2,1,119,3.755,-4,-6,271,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.047,-0.018,0.01,119.643,60.033,29.669,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.506074,2.425815,1.690082,0.950688,0.265473,-0.016756,0.266039,0.213512,122.780441,0.000356,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141547,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
71,14:15:58,4/29/2024,TIM2024,Zach Peagler,,7,1,CBG,0.10267,2.920055,0.099182,1.09204,2.008373,1.978692,3.062668,1.054295,20.13121,20.433189,31.159588,0.441786,PSF-01133_20240429141558,0,0,0,124.016045,425.504211,0.708543,0.5,0.8,29.345316,60.51,59.61,25.72,24.37,98.29,156.5,155.1,0.9,104,3.728,-11,8,188,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.226,0.104,-0.025,121.777,61.407,29.298,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505254,2.423635,1.687815,0.950313,0.264982,-0.013816,0.267027,0.199604,124.016045,0.000366,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141558,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
72,14:16:10,4/29/2024,TIM2024,Zach Peagler,,7,2,CG,0.157658,2.921078,0.149585,1.608323,2.067708,2.024057,3.09672,1.029013,20.593285,21.037395,31.50684,0.441786,PSF-01133_20240429141610,0,0,0,125.31102,477.30304,0.73746,0.5,0.8,30.293736,62.08,60.77,25.78,24.56,98.29,156.6,155.2,0.9,103,3.755,-8,2,204,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.041,0.033,0.048,0.481,0.309,-0.028,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.506862,2.425643,1.688914,0.950715,0.264378,-0.012366,0.268218,0.198854,125.31102,0.000363,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141610,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
73,14:16:19,4/29/2024,TIM2024,Zach Peagler,,7,3,Control,0.122918,2.921781,0.117956,1.211123,2.045212,2.012351,3.028362,0.98315,20.473764,20.80809,30.810709,0.441786,PSF-01133_20240429141619,0,0,0,150.711182,389.110199,0.612677,0.5,0.8,26.050486,61.25,60.27,25.82,24.18,98.29,156.7,155.2,1,106,3.755,-13,18,192,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.032,-0.041,-0.064,6.083,3.194,-0.27,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.506146,2.42457,1.68967,0.95058,0.263925,-0.017131,0.269089,0.202054,150.711182,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141619,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
74,14:16:28,4/29/2024,TIM2024,Zach Peagler,,7,4,Liquid,0.134211,2.921727,0.128316,1.309484,2.01908,1.983541,2.996504,0.977423,20.181425,20.543015,30.487747,0.441786,PSF-01133_20240429141628,0,0,0,121.303436,441.293488,0.725118,0.5,0.8,30.112936,60.32,59.26,25.86,24.01,98.29,156.7,155,1.1,104,3.755,-18,17,225,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.019,-0.068,-0.123,36.343,18.342,8.334,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.504725,2.423369,1.689612,0.950027,0.263489,-0.019624,0.269953,0.199853,121.303436,0.000366,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141628,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
75,14:16:48,4/29/2024,TIM2024,Zach Peagler,,7,5,CBG,0.039632,2.92178,0.039101,0.433004,1.990409,1.978654,3.050963,1.060554,20.130516,20.250114,31.040028,0.441786,PSF-01133_20240429141648,0,0,0,111.98616,410.997375,0.727526,0.5,0.8,30.368694,59.15,58.8,25.95,24.31,98.29,156.7,154.5,1.4,104,3.725,-12,20,161,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.05,-0.013,-9999,0.284,0.3,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.504064,2.42185,1.68967,0.948777,0.262553,-0.017237,0.271933,0.200328,111.98616,0.000362,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141648,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
76,14:16:55,4/29/2024,TIM2024,Zach Peagler,,7,6,CG,-0.064902,2.921302,-0.066376,-0.79492,1.931953,1.953556,3.079103,1.14715,19.874771,19.654995,31.325687,0.441786,PSF-01133_20240429141655,0,0,0,115.169052,417.307373,0.724019,0.5,0.8,28.42239,57.32,57.96,25.98,24.46,98.29,156.7,154.7,1.3,98,3.725,-20,6,154,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.081,-0.058,-9999,0.283,-2.557,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502882,2.419492,1.689154,0.949284,0.262268,-0.0158,0.272496,0.194806,115.169052,0.000361,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141655,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
77,14:17:12,4/29/2024,TIM2024,Zach Peagler,,7,7,Control,-0.007417,2.919902,-0.007436,-0.085072,1.956954,1.959267,3.052862,1.095909,19.932829,19.909288,31.05864,0.441786,PSF-01133_20240429141712,0,0,0,116.643188,406.454437,0.713023,0.5,0.8,27.119312,57.79,57.86,26.06,24.32,98.29,156.5,154.6,1.2,95,3.754,-26,3,193,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.046,-0.008,0.055,0.29,-0.198,0.219,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502719,2.420082,1.687651,0.949007,0.26144,-0.018361,0.274221,0.192092,116.643188,0.000361,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141712,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
78,14:17:20,4/29/2024,TIM2024,Zach Peagler,,7,8,Liquid,0.148752,2.921224,0.141544,1.499931,2.009187,1.968455,3.024132,1.014945,20.026152,20.440538,30.766119,0.441786,PSF-01133_20240429141720,0,0,0,119.084358,434.071198,0.725657,0.5,0.8,29.826756,59.2,58,26.1,24.16,98.29,156.6,155.1,1,103,3.754,-14,5,185,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.174,0.093,-0.035,-59.09,86.278,42.42,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502912,2.42189,1.689071,0.95048,0.261055,-0.020593,0.274976,0.198908,119.084358,0.000356,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141720,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
79,14:17:27,4/29/2024,TIM2024,Zach Peagler,,7,9,CBG,0.056714,2.920702,0.055634,0.640556,2.01668,1.99928,3.118865,1.102185,20.339638,20.516665,31.729721,0.441786,PSF-01133_20240429141727,0,0,0,123.17598,425.435181,0.710471,0.5,0.8,29.213184,59.31,58.8,26.13,24.68,98.29,156.6,154.8,1.1,103,3.752,-20,6,196,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.013,0.005,0.022,0.532,0.762,-1.121,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.504018,2.422022,1.68851,0.949729,0.260719,-0.015075,0.275626,0.198942,123.17598,0.000357,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141727,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
80,14:17:37,4/29/2024,TIM2024,Zach Peagler,,7,10,CG,0.093433,2.923042,0.090539,0.875705,2.032982,2.009241,2.959586,0.926604,20.440302,20.681826,30.108301,0.441786,PSF-01133_20240429141737,0,0,0,123.571159,427.85202,0.711182,0.5,0.8,27.559875,59.64,58.94,26.17,23.8,98.3,156.9,154.6,1.5,97,3.753,-21,8,195,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.052,-0.109,0.011,-0.02,-0.454,0.655,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.504213,2.422439,1.691032,0.948994,0.260283,-0.02555,0.276542,0.193686,123.571159,0.000363,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141737,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
81,14:17:45,4/29/2024,TIM2024,Zach Peagler,,7,11,Control,-0.099682,2.922609,-0.103202,-1.049198,1.976309,2.004779,2.950572,0.974263,20.395639,20.105997,30.017668,0.441786,PSF-01133_20240429141745,0,0,0,117.562294,451.400055,0.739561,0.5,0.8,29.801586,57.87,58.71,26.2,23.75,98.29,156.8,82.4,47.4,101,3.753,-11,14,197,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.025,-0.082,-0.045,-0.066,0.108,-1.34,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503877,2.420165,1.690564,0.771697,0.259972,-0.026475,0.277205,0.197116,117.456078,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141745,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
82,14:17:52,4/29/2024,TIM2024,Zach Peagler,,7,12,Liquid,0.074804,2.922268,0.072937,0.731176,2.035468,2.015634,2.995622,0.960155,20.506229,20.70801,30.476225,0.441786,PSF-01133_20240429141752,0,0,0,123.401642,441.157227,0.720277,0.5,0.8,26.653301,59.49,58.91,26.23,24,98.29,156.8,155,1.2,93,3.752,-23,12,187,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.096,-0.075,0.054,0.587,0.705,-1.052,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.504158,2.422241,1.690195,0.950056,0.259642,-0.02398,0.277912,0.189803,123.401642,0.000361,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141752,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
83,14:18:05,4/29/2024,TIM2024,Zach Peagler,,8,1,Liquid,-0.027891,2.920343,-0.02816,-0.313653,1.980011,1.988537,3.04683,1.066819,20.230556,20.143816,30.99719,0.441786,PSF-01133_20240429141805,0,0,0,143.246765,406.903992,0.647959,0.5,0.8,24.252945,57.69,57.94,26.29,24.29,98.29,156.5,154.6,1.2,94,3.752,-3,2,138,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.009,-0.018,-0.08,0.055,0.039,-1.252,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502785,2.419917,1.688123,0.949053,0.259099,-0.021373,0.279132,0.190749,143.246765,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141805,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
84,14:18:18,4/29/2024,TIM2024,Zach Peagler,,8,2,CBG,0.033202,2.921505,0.032829,0.323871,2.025854,2.017062,2.97091,0.945056,20.52107,20.610512,30.225269,0.441786,PSF-01133_20240429141818,0,0,0,115.18335,413.983948,0.721769,0.5,0.8,28.211233,58.85,58.6,26.34,23.87,98.29,156.7,154.2,1.6,98,3.751,-10,2,159,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.067,-0.032,-0.014,0.352,0.271,-1.771,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503692,2.421399,1.689373,0.947979,0.258579,-0.026751,0.280307,0.194428,115.18335,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141818,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
85,14:18:26,4/29/2024,TIM2024,Zach Peagler,,8,3,CG,-0.07596,2.921114,-0.077988,-0.936989,1.985354,2.010806,3.135504,1.15015,20.45789,20.19894,31.900532,0.441786,PSF-01133_20240429141826,0,0,0,115.367172,414.753204,0.721841,0.5,0.8,23.806242,57.56,58.3,26.37,24.77,98.29,156.6,154.7,1.2,82,3.752,-14,16,134,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.032,-0.055,-0.001,0.193,0.094,-1.224,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503263,2.419729,1.688953,0.949373,0.258224,-0.016873,0.281122,0.180864,113.01577,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141826,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
86,14:18:34,4/29/2024,TIM2024,Zach Peagler,,8,4,Control,-0.03643,2.920565,-0.03689,-0.378067,2.010376,2.020647,2.992028,0.981652,20.558695,20.454193,30.441822,0.441786,PSF-01133_20240429141834,0,0,0,131.704681,400.149811,0.670862,0.5,0.8,23.651737,58.18,58.48,26.4,23.98,98.29,156.6,155.1,0.9,88,3.752,-5,-5,112,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.061,-0.034,-9999,0.129,0.094,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.50351,2.420523,1.688362,0.950436,0.257915,-0.026164,0.281819,0.18592,131.704681,0.000362,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141834,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
87,14:18:40,4/29/2024,TIM2024,Zach Peagler,,8,5,Liquid,0.074915,2.92242,0.073042,0.68957,2.064004,2.045308,2.968154,0.904149,20.809391,20.999611,30.198614,0.441786,PSF-01133_20240429141840,0,0,0,114.414452,410.156616,0.721047,0.5,0.8,27.764645,59.65,59.11,26.43,23.85,98.29,156.8,154.3,1.6,96,3.751,-8,4,106,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.01,0.038,-9999,0.132,-0.939,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.504383,2.422401,1.690359,0.948375,0.257664,-0.027965,0.282376,0.193139,114.414452,0.000367,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141840,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
88,14:18:47,4/29/2024,TIM2024,Zach Peagler,,8,6,CBG,-0.080689,2.920782,-0.082981,-0.876257,2.000225,2.024029,3.011622,1.011396,20.593519,20.351328,30.6418,0.441786,PSF-01133_20240429141847,0,0,0,120.589973,432.584869,0.721234,0.5,0.8,27.487011,57.73,58.41,26.45,24.09,98.28,156.6,155.2,0.9,95,3.75,-11,3,112,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.12,-0.124,-9999,0.207,-0.835,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503406,2.419929,1.688595,0.950592,0.257428,-0.02548,0.282926,0.192262,119.300369,0.000357,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141847,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
89,14:19:00,4/29/2024,TIM2024,Zach Peagler,,8,8,CG,-0.067354,2.920877,-0.068944,-0.741065,2.0125,2.032626,3.041737,1.029237,20.681784,20.477001,30.949387,0.441786,PSF-01133_20240429141900,0,0,0,109.904053,390.856873,0.718813,0.5,0.8,25.871393,57.92,58.5,26.5,24.26,98.28,156.6,154.9,1.1,90,3.75,-11,-7,120,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.008,0.011,-0.017,0.58,0.35,-0.25,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.50351,2.420164,1.688697,0.949753,0.256938,-0.024148,0.284199,0.187555,107.34272,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141900,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
90,14:19:11,4/29/2024,TIM2024,Zach Peagler,,8,9,Liquid,-0.081968,2.921885,-0.084333,-0.941585,1.97874,2.0043,3.047967,1.069228,20.393976,20.1339,31.013412,0.441786,PSF-01133_20240429141911,0,0,0,116.674301,411.991241,0.716804,0.5,0.8,24.367504,56.81,57.54,26.54,24.29,98.28,156.7,154.9,1.2,85,3.751,-17,3,143,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,0.028,-0.037,-0.096,-0.126,0.225,0.359,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502163,2.418727,1.689782,0.949839,0.256514,-0.024243,0.285276,0.183118,116.674301,0.000366,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141911,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
91,14:19:18,4/29/2024,TIM2024,Zach Peagler,,8,10,CBG,-0.027371,2.923423,-0.02763,-0.321819,1.997936,2.00666,3.112887,1.11495,20.417995,20.329231,31.673975,0.441786,PSF-01133_20240429141918,0,0,0,122.048737,432.181488,0.717598,0.5,0.8,28.832708,57.28,57.53,26.56,24.64,98.28,156.9,154.9,1.3,100,3.745,-12,7,164,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.102,-0.105,-9999,0.172,-0.886,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502143,2.419333,1.691443,0.949817,0.256281,-0.020482,0.285814,0.196857,122.048737,0.000359,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141918,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
92,14:19:25,4/29/2024,TIM2024,Zach Peagler,,8,11,CG,0.149888,2.92139,0.142573,1.522804,2.063764,2.022448,3.085918,1.022154,20.579584,20.999994,31.401001,0.441786,PSF-01133_20240429141925,0,0,0,118.345497,459.988464,0.742721,0.5,0.8,29.562414,59.08,57.89,26.59,24.5,98.27,156.7,155.2,0.9,100,3.751,-19,2,157,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.076,-0.033,-9999,0.23,0.123,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502649,2.42164,1.689249,0.950648,0.256021,-0.022447,0.286414,0.19602,118.345497,0.000374,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141925,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
93,14:19:37,4/29/2024,TIM2024,Zach Peagler,,8,12,Control,0.042015,2.922586,0.041419,0.457717,2.043112,2.030701,3.100804,1.057692,20.661722,20.787994,31.549665,0.441786,PSF-01133_20240429141937,0,0,0,113.389847,416.63504,0.727844,0.5,0.8,27.089725,58.32,57.97,26.63,24.58,98.28,156.8,154.3,1.6,93,3.749,-17,14,163,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:13:28,4/29/2024,-1.42,-0.008,-0.025,-0.023,-0.213,0.24,0.174,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502741,2.420661,1.690538,0.948398,0.255537,-0.022083,0.287642,0.190281,113.389847,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429141937,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
94,13:04:19,5/3/2024,TIM2024,Zach Peagler,,1,1,Control,0.750522,2.922805,0.597178,9.219552,1.836559,1.586965,3.308978,1.472419,16.202494,18.750784,33.783787,0.441786,PSF-01133_20240503130419,0,0,0,103.923798,270.009766,0.615111,0.5,0.8,48.400707,82.37,71.17,19.18,25.67,97.95,156.8,156.6,0.1,197,3.755,-2,7,298,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,13:03:50,5/3/2024,-2.23,-0.062,-0.114,0.244,100.844,52.099,25.554,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.522884,2.453515,1.690776,0.954518,0.344392,0.076265,0.046818,0.282392,103.923798,0.000348,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240503130419,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
